Screen Name,Users
authorization_pin,"45,205"
main,"24,032"
menu_payments,"22,899"
feed_payment_details_operation,"20,858"
settings,"16,797"
chat_dialogs,"16,081"
authorization_login,"13,840"
payment_contragent_sum,"11,365"
payment_otp,"9,200"
main_filters,"8,883"
cards_list,"8,867"
analytics_cashflow,"8,549"
authorization_otp,"7,914"
chat_messages,"7,305"
authorization_pin_set,"6,247"
payment_contragent_initial,"5,922"
tab_create_payment,"5,464"
cards_details,"4,937"
tariff,"4,815"
feed_payment_details_draft,"4,793"
payment_contragent_bank,"4,746"
feed_payment_details_submitted,"3,672"
payment__bank,"3,605"
analytics_categories,"3,444"
payment_tb,"3,359"
counterparty_list,"2,321"
chat_contacts,"2,209"
rateme,"1,803"
integrations_list,"1,618"
application_short,"1,523"
payment_taxes_initial,"1,395"
payment_photo_initial,"1,344"
payment_photo_cam,"1,286"
map_replenish,"1,258"
ci_list,"1,222"
counterparty_details,"1,194"
payment_photo_bank,"1,095"
payment_photo_sum,"1,054"
feed_payment_details_unsigned,965
payment_photo_gallery,879
payment_budget_initial,867
feed_payment_details_declined,800
cards_limits,769
integrations_details,576
payment_taxes_sum,541
payment_taxes_budget,412
payment_taxes_bank,408
payment_taxes_tax,385
feed_payment_details_signed,353
integration_details_edit,205
payment_budget_sum,201
payment_budget_bank,158
invoice_pdf,142
payment_budget_budget,136
menu_main,113
payment_closing_initial,34
payment_closing_sum,30
payment_closing_bank,29
payment__sum,24
payment__initial,10
www.bigdata-domain.com/--,7
ru.tinkoff.sme.ui.activity.LoginActivity,4
